state,county,tract,intptlat,intptlon,alandsqkm,dist_to_bigcity,population15,unitstot15,natpctfor15,povpctind15,povpctfam15,racpctwhi15,tenpctown15,tenpctren15,unitpct2pl15,occpctvac15,compcttra15,compctwlk15,compctbic15,compctdrv15,medhhinc15,medhhval15,medgrossrent15,medrooms15,unemprate15,labpartrate15,population21,unitstot21,povpctind21,natpctfor21,povpctfam21,racpctwhi21,tenpctown21,tenpctren21,unitpct2pl21,occpctvac21,compcttra21,compctwlk21,compctbic21,compctdrv21,medhhinc21,medhhval21,medgrossrent21,medrooms21,unemprate21,labpartrate21
39,101,1100,40.6073396,-83.1056964,4.206424,233114.5964,2305,1027,1.735357918,22.34273319,13.77840909,89.28416486,58.55263158,41.44736842,5.64751704,11.1976631,0.310559006,1.242236025,0,92.96066253,36359,73000,822,5.4,10.69469835,62.51428571,2758,1076,20.46374678,1.124002901,16,84.73531545,57.66698024,42.33301976,3.252788104,1.208178439,3.069053708,0,0,96.93094629,52863,81300,948,5.7,13.10679612,66.14678899
39,95,4900,41.6376257,-83.5104774,1.049382,500140.8133,2961,1422,0.675447484,34.98305085,33.18250377,75.61634583,41.99806014,58.00193986,27.0745429,27.49648383,1.373895976,4.023552502,0,88.12561335,25891,41500,653,5.7,24.63126844,59.6043956,2679,1355,23.40425532,0.634565136,19.38461538,59.91041433,29.79704797,70.20295203,29.5202952,20,0,11.69527897,1.287553648,84.12017167,31084,34000,829,5.6,15.11226252,59.41508466
39,95,7302,41.6329303,-83.6472729,3.674879,532927.0733,3075,1682,2.894308943,22.66800401,19.76284585,38.69918699,69.21259843,30.78740157,25.62425684,24.49464923,3.478904515,0.88823094,0,93.85640266,36964,72500,630,5.3,11.01804124,66.63804208,3238,1626,20.18494898,6.176652254,12.36842105,45.46016059,60.7742878,39.2257122,20.97170972,15.80565806,0.927643785,0,1.85528757,96.47495362,36622,69300,893,5.3,19.36842105,53.95683453
39,95,10001,41.650179,-83.4781623,2.611368,490187.146,4215,1756,3.368920522,14.39229844,8.946877912,89.58481613,62.63929619,37.36070381,22.60820046,2.904328018,0,0,0,95.04087193,42702,118600,681,5.8,7.593052109,59.45706698,3939,1770,3.407934893,3.503427266,1.82876143,91.13988322,84.86997636,15.13002364,17.28813559,4.406779661,0.524658972,2.308499475,0,93.96642183,66887,144900,657,6.2,2.972596377,65.42084473
39,61,20901,39.1555432,-84.6213574,1.602345,34453.59986,3591,1732,2.31133389,15.62677255,13.61141603,85.65859092,60.73805203,39.26194797,30.31177829,4.561200924,5.25030525,0,0,91.63614164,43917,94400,677,5.5,10.8994709,62.62425447,3450,1568,8.257713249,5.362318841,1.187335092,77.1884058,63.78488768,36.21511232,25.57397959,6.31377551,0.490797546,0.674846626,0,91.8404908,49846,109600,818,5.7,9.354485777,71.01787102
39,61,20902,39.1583236,-84.6105752,1.93179,32119.50437,5387,2938,2.357527381,27.70970782,27.89389068,87.15426026,48.33468725,51.66531275,44.38393465,16.20149762,2.392898495,2.045542262,0,94.44230027,34777,89700,580,5,13.07974641,69.2147806,5388,2825,27.51042061,1.818856719,20.16460905,74.81440238,41.02669405,58.97330595,56.56637168,13.80530973,0.880352141,1.880752301,0,80.67226891,34698,110500,769,5,12.28367832,73.63818091
39,61,21001,39.1640381,-84.636503,2.70705,36842.81313,2891,1372,2.525077828,9.14017341,9.748892171,93.63542027,59.45736434,40.54263566,45.26239067,5.976676385,1.414141414,2.895622896,0,93.93939394,48574,105600,701,5,5.69259962,65.52009946,2924,1319,9.094138544,2.359781122,7.832167832,87.65389877,62.51944012,37.48055988,45.18574678,2.501895375,9.065743945,1.176470588,0,82.07612457,63448,111600,780,5.4,5.498059508,64.57811195
39,61,26001,39.2849497,-84.7848791,26.189948,87066.95756,5153,1828,0.135843198,4.678019182,4.134860051,97.61304095,95.15050167,4.849498328,5.142231947,1.859956236,1.64874552,0.215053763,0,92.86738351,91250,203800,765,6.6,4.222451081,71.8726869,5451,1972,2.596920794,0.550357733,2.549751244,97.57842598,94.62254395,5.37745605,2.789046653,1.926977688,0.951086957,0.985054348,0,93.27445652,112635,249400,1016,7.4,2.659747,72.43890977
39,153,531001,41.0539128,-81.4107369,7.087532,173468.379,3475,1450,1.697841727,9.755395683,3.510638298,98.99280576,80.01531394,19.98468606,8.413793103,9.931034483,0,0.416418798,0,98.51279001,54519,110400,720,5.8,8.137044968,66.88148944,3489,1451,5.041031653,0.429922614,1.047120419,95.52880482,81.76056338,18.23943662,8.545830462,2.136457615,0.31779661,0,0,84.90466102,71346,126100,847,6.1,3.405725568,71.92048278
39,153,531101,41.0204442,-81.4387054,4.060247,182483.3923,3183,1498,0.81683946,7.068803016,5.373831776,92.55419416,85.42673108,14.57326892,4.606141522,17.0894526,0,0.664010624,0,98.33997344,51092,89700,840,5.5,14.01515152,67.76677668,3108,1464,7.915057915,0.032175032,3.003754693,96.46074646,82.7724359,17.2275641,5.464480874,14.75409836,0,0,5.423728814,84.6779661,57500,90700,917,5.5,13.58664364,70.7247557
39,153,531102,41.008128,-81.4188882,14.479842,189165.5188,4438,1834,2.388463272,8.134294727,6.346623271,97.92699414,87.14810282,12.85189718,3.762268266,10.90512541,0,0.368227249,0,96.63335087,59825,134200,727,6.4,7.920333488,60.30726257,4078,1751,8.827856793,2.256007847,6.803939123,94.06571849,90.625,9.375,2.798400914,8.623643632,0,1.432806324,0,91.94664032,82862,156900,746,6.4,1.104728237,65.08484326
39,153,531103,41.0046535,-81.4676218,11.684898,185120.97,3139,1244,2.389295954,12.10576617,7.386363636,96.33641287,80.94038623,19.05961377,5.546623794,4.260450161,0.140252454,0,0,99.85974755,61050,138100,1115,6.4,8.545918367,62.0990099,3101,1432,5.760517799,3.289261529,7.24801812,95.64656562,91.02468212,8.975317876,4.120111732,6.634078212,0,0,0,97.30263158,66782,159200,911,6.1,5.096333126,59.57052943
